"","Year","Data.Value"
"395",2017,235
"396",2017,240
"397",2015,479
"398",2015,466
"399",2015,472
"400",2015,486
"401",2015,493
"402",2015,500
"403",2015,510
"404",2015,512
"405",2015,530
"406",2015,537
"407",2015,548
"408",2015,555
"409",2016,565
"410",2016,564
"411",2016,581
"412",2016,587
"413",2016,590
"414",2016,602
"415",2016,614
"416",2016,614
"417",2016,608
"418",2016,612
"419",2016,599
"420",2016,597
"421",2017,594
"422",2017,595
"423",2017,569
"424",2017,541
"425",2017,525
"426",2017,514
"427",2017,493
"428",2017,491
"429",2017,475
"430",2015,979
"431",2015,986
"432",2015,1002
"433",2015,1020
"434",2015,1038
"435",2015,1061
"436",2015,1059
"437",2015,1046
"438",2015,1074
"439",2015,1090
"440",2015,1131
"441",2015,1159
"442",2016,1199
"443",2016,1212
"444",2016,1252
"445",2016,1278
"446",2016,1310
"447",2016,1361
"448",2016,1398
"449",2016,1444
"450",2016,1456
"451",2016,1468
"452",2016,1468
"453",2016,1497
"454",2017,1537
"455",2017,1553
"456",2017,1553
"457",2017,1536
"458",2017,1529
"459",2017,1539
"460",2017,1528
"461",2017,1549
"462",2017,1571
"463",2015,209
"464",2015,228
"465",2015,234
"466",2015,236
"467",2015,245
"468",2015,257
"469",2015,261
"470",2015,254
"471",2015,269
"472",2015,267
"473",2015,285
"474",2015,301
"475",2016,324
"476",2016,347
"477",2016,381
"478",2016,403
"479",2016,428
"480",2016,455
"481",2016,480
"482",2016,521
"483",2016,529
"484",2016,550
"485",2016,573
"486",2016,591
"487",2017,639
"488",2017,669
"489",2017,699
"490",2017,720
"491",2017,753
"492",2017,802
"493",2017,825
"494",2017,865
"495",2017,922
"496",2015,84
"497",2015,85
"498",2015,77
"499",2015,78
"500",2015,76
"501",2015,76
"502",2015,69
"503",2015,67
"504",2015,69
"505",2015,69
"506",2015,70
"507",2015,63
"508",2016,61
"509",2016,68
"510",2016,70
"511",2016,71
"512",2016,75
"513",2016,70
"514",2016,75
"515",2016,74
"516",2016,74
"517",2016,69
"518",2016,68
"519",2016,68
"520",2017,62
"521",2017,52
"522",2017,50
"523",2017,53
"524",2017,50
"525",2017,55
"526",2017,55
"527",2017,53
"528",2017,51
"529",2015,317
"530",2015,325
"531",2015,330
"532",2015,356
"533",2015,365
"534",2015,378
"535",2015,384
"536",2015,389
"537",2015,413
"538",2015,412
"539",2015,407
"540",2015,378
"541",2016,376
"542",2016,388
"543",2016,398
"544",2016,393
"545",2016,400
"546",2016,389
"547",2016,400
"548",2016,403
"549",2016,400
"550",2016,397
"551",2016,399
"552",2016,415
"553",2017,414
"554",2017,404
"555",2017,395
"556",2017,405
"557",2017,404
"558",2017,415
"559",2017,419
"560",2017,425
"561",2017,421
"562",2015,171
"563",2015,186
"564",2015,198
"565",2015,219
"566",2015,234
"567",2015,252
"568",2015,267
"569",2015,281
"570",2015,313
"571",2015,308
